,ID,Artist,Title,Image URL,Painting Info URL,Artist Info URL,name,artist,artist_1,artist_name,artist_name_1,content_id
1022,577284a3edc2cb3880fe7a97,Sven Lukin,Untitled,https://uploads3.wikiart.org/images/sven-lukin/untitled-1964.jpg,https://www.wikiart.org/en/sven-lukin/untitled-1964,https://www.wikiart.org/en/sven-lukin,untitled-1964.jpg,sven-lukin,sven-lukin,sven-lukin,sven-lukin,315109
1025,57728193edc2cb3880f4f2d7,Jean Fautrier,Otage,https://uploads3.wikiart.org/images/jean-fautrier/otage-1943.jpg,https://www.wikiart.org/en/jean-fautrier/otage-1943,https://www.wikiart.org/en/jean-fautrier,otage-1943.jpg,jean-fautrier,jean-fautrier,jean-fautrier,jean-fautrier,297720
1026,57727553edc2cb3880ce0720,Andy Warhol,Elvis I &amp; II,https://uploads7.wikiart.org/images/andy-warhol/elvis-presley(1).jpg,https://www.wikiart.org/en/andy-warhol/elvis-presley,https://www.wikiart.org/en/andy-warhol,elvis-presley(1).jpg,andy-warhol,andy-warhol,andy-warhol,andy-warhol,229297
1032,57727fa5edc2cb3880eeae36,Sam Gilliam,Mars at Angles,https://uploads1.wikiart.org/images/sam-gilliam/mars-at-angles-1978.jpg,https://www.wikiart.org/en/sam-gilliam/mars-at-angles-1978,https://www.wikiart.org/en/sam-gilliam,mars-at-angles-1978.jpg,sam-gilliam,sam-gilliam,sam-gilliam,sam-gilliam,286463
1034,58aae502edc2c923e4650713,Agostino Tassi,Festivities on the Coast (Calendimaggio),https://uploads8.wikiart.org/00120/images/agostino-tassi/festivities-on-the-coast-calendimaggio-1620.jpg,https://www.wikiart.org/en/agostino-tassi/festivities-on-the-coast-calendimaggio-1620,https://www.wikiart.org/en/agostino-tassi,festivities-on-the-coast-calendimaggio-1620.jpg,agostino-tassi,agostino-tassi,agostino-tassi,agostino-tassi,9223372032559812325
1036,57727ffeedc2cb3880efd9b9,Tivadar Kosztka Csontvary,Shipwreck,https://uploads1.wikiart.org/images/tivadar-kosztka-csontvary/shipwreck-1903.jpg,https://www.wikiart.org/en/tivadar-kosztka-csontvary/shipwreck-1903,https://www.wikiart.org/en/tivadar-kosztka-csontvary,shipwreck-1903.jpg,tivadar-kosztka-csontvary,tivadar-kosztka-csontvary,tivadar-kosztka-csontvary,tivadar-kosztka-csontvary,288459
1041,577287daedc2cb3880089637,Joan Brown,The Kiss,https://uploads3.wikiart.org/images/joan-brown/the-kiss-1976.jpg,https://www.wikiart.org/en/joan-brown/the-kiss-1976,https://www.wikiart.org/en/joan-brown,the-kiss-1976.jpg,joan-brown,joan-brown,joan-brown,joan-brown,334846
1042,57728287edc2cb3880f80695,Sam Francis,Untitled,https://uploads6.wikiart.org/images/sam-francis/untitled-1984-3.jpg,https://www.wikiart.org/en/sam-francis/untitled-1984-3,https://www.wikiart.org/en/sam-francis,untitled-1984-3.jpg,sam-francis,sam-francis,sam-francis,sam-francis,303442
1043,598d7457edc2c955f8bb853e,Vasiliy Ryabchenko,Flowering time,https://uploads7.wikiart.org/00144/images/vasiliy-ryabchenko/vasiliy-ryabchenko-flowering-time-70-75-cm-oil-on-canvas-1987-1.jpg,https://www.wikiart.org/en/vasiliy-ryabchenko/flowering-time-1987,https://www.wikiart.org/en/vasiliy-ryabchenko,vasiliy-ryabchenko-flowering-time-70-75-cm-oil-on-canvas-1987-1.jpg,vasiliy-ryabchenko,vasiliy-ryabchenko,vasiliy-ryabchenko,vasiliy-ryabchenko,9223372032559822871
1044,5772827fedc2cb3880f7fa12,Sa Nogueira,One,https://uploads8.wikiart.org/images/sa-nogueira/one-1971.jpg,https://www.wikiart.org/en/sa-nogueira/one-1971,https://www.wikiart.org/en/sa-nogueira,one-1971.jpg,sa-nogueira,sa-nogueira,sa-nogueira,sa-nogueira,303206
1049,577280d9edc2cb3880f284d2,Victor Pasmore,"Abstract in White, Grey and Ochre",https://uploads4.wikiart.org/images/victor-pasmore/abstract-in-white-grey-and-ochre-1949.jpg,https://www.wikiart.org/en/victor-pasmore/abstract-in-white-grey-and-ochre-1949,https://www.wikiart.org/en/victor-pasmore,abstract-in-white-grey-and-ochre-1949.jpg,victor-pasmore,victor-pasmore,victor-pasmore,victor-pasmore,293610
1050,57728985edc2cb38800de906,Medardo Rosso,Little Laughing Woman,https://uploads1.wikiart.org/images/medardo-rosso/little-laughing-woman-1890.jpg,https://www.wikiart.org/en/medardo-rosso/little-laughing-woman-1890,https://www.wikiart.org/en/medardo-rosso,little-laughing-woman-1890.jpg,medardo-rosso,medardo-rosso,medardo-rosso,medardo-rosso,348040
1054,57728372edc2cb3880faabb8,Kansuke Yamamoto,Anxious Corridor,https://uploads8.wikiart.org/images/kansuke-yamamoto/anxious-corridor-1940.jpg,https://www.wikiart.org/en/kansuke-yamamoto/anxious-corridor-1940,https://www.wikiart.org/en/kansuke-yamamoto,anxious-corridor-1940.jpg,kansuke-yamamoto,kansuke-yamamoto,kansuke-yamamoto,kansuke-yamamoto,308362
1057,57727e25edc2cb3880e9d213,Fyodor Alekseyev,View from the Kremlin&#39;s Spassky Gate,https://uploads1.wikiart.org/images/fyodor-alekseyev/view-from-the-kremlin-s-spassky-gate-1800.jpg,https://www.wikiart.org/en/fyodor-alekseyev/view-from-the-kremlin-s-spassky-gate-1800,https://www.wikiart.org/en/fyodor-alekseyev,view-from-the-kremlin-s-spassky-gate-1800.jpg,fyodor-alekseyev,fyodor-alekseyev,fyodor-alekseyev,fyodor-alekseyev,278556
1059,57726e38edc2cb3880b62a41,Caravaggio,Medusa,https://uploads3.wikiart.org/images/caravaggio/medusa-1597-1.jpg,https://www.wikiart.org/en/caravaggio/medusa-1597-1,https://www.wikiart.org/en/caravaggio,medusa-1597-1.jpg,caravaggio,caravaggio,caravaggio,caravaggio,186670
1064,57726f76edc2cb3880baa425,Hieronymus Bosch,The Stone Operation / The Extraction of the Stone Madness / The Cure of Folly,https://uploads4.wikiart.org/images/hieronymus-bosch/the-cure-of-folly.jpg,https://www.wikiart.org/en/hieronymus-bosch/the-stone-operation-the-extraction-of-the-stone-madness-the-cure-of-folly-1,https://www.wikiart.org/en/hieronymus-bosch,the-cure-of-folly.jpg,hieronymus-bosch,hieronymus-bosch,hieronymus-bosch,hieronymus-bosch,195392
1066,57727903edc2cb3880d9e116,Grigoriy Myasoyedov,Escape of Grigory Otrepyev from inn on the Lithuanian border,https://uploads1.wikiart.org/images/grigoriy-myasoyedov/escape-of-grigory-otrepyev-from-inn-on-the-lithuanian-border-1862.jpg,https://www.wikiart.org/en/grigoriy-myasoyedov/escape-of-grigory-otrepyev-from-inn-on-the-lithuanian-border-1862,https://www.wikiart.org/en/grigoriy-myasoyedov,escape-of-grigory-otrepyev-from-inn-on-the-lithuanian-border-1862.jpg,grigoriy-myasoyedov,grigoriy-myasoyedov,grigoriy-myasoyedov,grigoriy-myasoyedov,250150
1069,57727a9aedc2cb3880df184d,Adriaen Brouwer,Fumatore,https://uploads3.wikiart.org/images/adriaen-brouwer/fumatore.jpg,https://www.wikiart.org/en/adriaen-brouwer/fumatore,https://www.wikiart.org/en/adriaen-brouwer,fumatore.jpg,adriaen-brouwer,adriaen-brouwer,adriaen-brouwer,adriaen-brouwer,259176
1078,57727634edc2cb3880d0b127,Willem de Kooning,Asheville,https://uploads0.wikiart.org/images/willem-de-kooning/asheville(1).jpg,https://www.wikiart.org/en/willem-de-kooning/asheville,https://www.wikiart.org/en/willem-de-kooning,asheville(1).jpg,willem-de-kooning,willem-de-kooning,willem-de-kooning,willem-de-kooning,233997
1081,5772823dedc2cb3880f6e971,Derek Boshier,Shy Cowboy,https://uploads8.wikiart.org/images/derek-boshier/shy-cowboy-1980.jpg,https://www.wikiart.org/en/derek-boshier/shy-cowboy-1980,https://www.wikiart.org/en/derek-boshier,shy-cowboy-1980.jpg,derek-boshier,derek-boshier,derek-boshier,derek-boshier,301843
1084,5864c292edc2c98d6c50bd1e,Pablo Picasso,Guernica,https://uploads8.wikiart.org/00139/images/pablo-picasso/guernica-by-pablo-picasso.jpg,https://www.wikiart.org/en/pablo-picasso/guernica-1937,https://www.wikiart.org/en/pablo-picasso,guernica-by-pablo-picasso.jpg,pablo-picasso,pablo-picasso,pablo-picasso,pablo-picasso,9223372032559810680
1086,57727403edc2cb3880ca6624,Pablo Picasso,Girl on the ball,https://uploads5.wikiart.org/images/pablo-picasso/girl-on-the-ball-1905.jpg,https://www.wikiart.org/en/pablo-picasso/girl-on-the-ball-1905,https://www.wikiart.org/en/pablo-picasso,girl-on-the-ball-1905.jpg,pablo-picasso,pablo-picasso,pablo-picasso,pablo-picasso,223940
1087,57727016edc2cb3880bcebd8,Francisco de Zurbaran,The Immaculate Conception,https://uploads1.wikiart.org/images/francisco-zurbaran/the-immaculate-conception-1630.jpg,https://www.wikiart.org/en/francisco-de-zurbaran/the-immaculate-conception-1630,https://www.wikiart.org/en/francisco-de-zurbaran,the-immaculate-conception-1630.jpg,francisco-zurbaran,francisco-de-zurbaran,francisco-zurbaran,francisco-de-zurbaran,198696
1088,57728668edc2cb38800428c4,Angel Planells,Crimen Perfecto,https://uploads8.wikiart.org/images/angel-planells/crimen-perfecto-1930(1).jpg,https://www.wikiart.org/en/angel-planells/crimen-perfecto-1930,https://www.wikiart.org/en/angel-planells,crimen-perfecto-1930(1).jpg,angel-planells,angel-planells,angel-planells,angel-planells,324950
1091,5772843bedc2cb3880fd337d,Richard Serra,To Lift,https://uploads5.wikiart.org/images/richard-serra/to-lift-1967.jpg,https://www.wikiart.org/en/richard-serra/to-lift-1967,https://www.wikiart.org/en/richard-serra,to-lift-1967.jpg,richard-serra,richard-serra,richard-serra,richard-serra,312876
1095,57727301edc2cb3880c73de3,Peter Paul Rubens,The Judgment of Paris,https://uploads2.wikiart.org/images/peter-paul-rubens/the-judgment-of-paris-1.jpg,https://www.wikiart.org/en/peter-paul-rubens/the-judgment-of-paris-1,https://www.wikiart.org/en/peter-paul-rubens,the-judgment-of-paris-1.jpg,peter-paul-rubens,peter-paul-rubens,peter-paul-rubens,peter-paul-rubens,9223372032559829153
1096,577275e6edc2cb3880cf8b29,William-Adolphe Bouguereau,Dante and Virgil,https://uploads8.wikiart.org/images/william-adolphe-bouguereau/dante-and-virgil-in-hell-1850.jpg,https://www.wikiart.org/en/william-adolphe-bouguereau/dante-and-virgil-1850,https://www.wikiart.org/en/william-adolphe-bouguereau,dante-and-virgil-in-hell-1850.jpg,william-adolphe-bouguereau,william-adolphe-bouguereau,william-adolphe-bouguereau,william-adolphe-bouguereau,232375
1100,577276eaedc2cb3880d31b33,Alfred Sisley,Under the bridge at Hampton Court,https://uploads4.wikiart.org/images/alfred-sisley/under-the-bridge-at-hampton-court-1874.jpg,https://www.wikiart.org/en/alfred-sisley/under-the-bridge-at-hampton-court-1874,https://www.wikiart.org/en/alfred-sisley,under-the-bridge-at-hampton-court-1874.jpg,alfred-sisley,alfred-sisley,alfred-sisley,alfred-sisley,237999
1108,57727ffdedc2cb3880efd8a9,Tivadar Kosztka Csontvary,Coaching in Athens at New Moon,https://uploads4.wikiart.org/images/tivadar-kosztka-csontvary/coaching-in-athens-at-new-moon-1904.jpg,https://www.wikiart.org/en/tivadar-kosztka-csontvary/coaching-in-athens-at-new-moon-1904,https://www.wikiart.org/en/tivadar-kosztka-csontvary,coaching-in-athens-at-new-moon-1904.jpg,tivadar-kosztka-csontvary,tivadar-kosztka-csontvary,tivadar-kosztka-csontvary,tivadar-kosztka-csontvary,288442
1111,577279cfedc2cb3880dc828f,Franz Marc,Deer in the Forest II,https://uploads7.wikiart.org/images/franz-marc/deer-in-the-forest-ii-1914.jpg,https://www.wikiart.org/en/franz-marc/deer-in-the-forest-ii-1914,https://www.wikiart.org/en/franz-marc,deer-in-the-forest-ii-1914.jpg,franz-marc,franz-marc,franz-marc,franz-marc,254680
1115,577276e9edc2cb3880d31a1d,Alfred Sisley,Molesey Weir at Hampton Court Morning,https://uploads8.wikiart.org/images/alfred-sisley/molesey-weir-at-hampton-court-morning-1874.jpg,https://www.wikiart.org/en/alfred-sisley/molesey-weir-at-hampton-court-morning-1874,https://www.wikiart.org/en/alfred-sisley,molesey-weir-at-hampton-court-morning-1874.jpg,alfred-sisley,alfred-sisley,alfred-sisley,alfred-sisley,237981
1127,5954fa32edc2c93644c38f1b,Joseph Anton Koch,Noah&#39;s Offers up Thanks,https://uploads3.wikiart.org/00138/images/joseph-anton-koch/1814-koch-noahs-dankopfer-anagoria.JPG,https://www.wikiart.org/en/joseph-anton-koch/noahs-offers-up-thanks-1814,https://www.wikiart.org/en/joseph-anton-koch,1814-koch-noahs-dankopfer-anagoria.JPG,joseph-anton-koch,joseph-anton-koch,joseph-anton-koch,joseph-anton-koch,9223372032559821935
1138,57726e7eedc2cb3880b74afa,Francois Boucher,Portrait of Marie-Louis O’Murphy (Nude on a Sofa),https://uploads0.wikiart.org/images/francois-boucher/nude-on-a-sofa-1752(1).jpg,https://www.wikiart.org/en/francois-boucher/portrait-of-marie-louis-o-murphy-nude-on-a-sofa-1752-1,https://www.wikiart.org/en/francois-boucher,nude-on-a-sofa-1752(1).jpg,francois-boucher,francois-boucher,francois-boucher,francois-boucher,189193
1142,577280e3edc2cb3880f29328,Akseli Gallen-Kallela,Lemmink&#228;inen&#39;s Mother,https://uploads0.wikiart.org/images/akseli-gallen-kallela/lemmink-inen-s-mother-1897.jpg,https://www.wikiart.org/en/akseli-gallen-kallela/lemmink-inen-s-mother-1897,https://www.wikiart.org/en/akseli-gallen-kallela,lemmink-inen-s-mother-1897.jpg,akseli-gallen-kallela,akseli-gallen-kallela,akseli-gallen-kallela,akseli-gallen-kallela,293903
1144,5772809bedc2cb3880f1cd20,Alexander Calder,Devil Fish,https://uploads2.wikiart.org/images/alexander-calder/devil-fish-1937.jpg,https://www.wikiart.org/en/alexander-calder/devil-fish-1937,https://www.wikiart.org/en/alexander-calder,devil-fish-1937.jpg,alexander-calder,alexander-calder,alexander-calder,alexander-calder,292097
1154,5772866fedc2cb388004339f,Bice Lazzari,Rhythm,https://uploads6.wikiart.org/images/bice-lazzari/rhythm-1956(2).jpg,https://www.wikiart.org/en/bice-lazzari/rhythm-1956,https://www.wikiart.org/en/bice-lazzari,rhythm-1956(2).jpg,bice-lazzari,bice-lazzari,bice-lazzari,bice-lazzari,325149
1156,57727f6bedc2cb3880edffeb,Raoul Ubac,Penth&#233;sil&#233;e,https://uploads6.wikiart.org/images/raoul-ubac/penth-sil-e-1937.jpg,https://www.wikiart.org/en/raoul-ubac/penth-sil-e-1937,https://www.wikiart.org/en/raoul-ubac,penth-sil-e-1937.jpg,raoul-ubac,raoul-ubac,raoul-ubac,raoul-ubac,285162
1157,57727f04edc2cb3880eccefa,Gene Davis,Red Devil,https://uploads7.wikiart.org/images/gene-davis/red-devil-1959(1).jpg,https://www.wikiart.org/en/gene-davis/red-devil-1959,https://www.wikiart.org/en/gene-davis,red-devil-1959(1).jpg,gene-davis,gene-davis,gene-davis,gene-davis,283217
1158,57726e7cedc2cb3880b7470a,Sandro Botticelli,The Mystical Nativity,https://uploads3.wikiart.org/images/sandro-botticelli/the-mystical-nativity(1).jpg,https://www.wikiart.org/en/sandro-botticelli/the-mystical-nativity-1500-1,https://www.wikiart.org/en/sandro-botticelli,the-mystical-nativity(1).jpg,sandro-botticelli,sandro-botticelli,sandro-botticelli,sandro-botticelli,189124
1160,57727c20edc2cb3880e38156,Joshua Reynolds,Garrick Between Tragedy and Comedy,https://uploads7.wikiart.org/images/joshua-reynolds/david-garrick-between-tragedy-and-comedy-1761(1).jpg,https://www.wikiart.org/en/joshua-reynolds/david-garrick-between-tragedy-and-comedy-1761,https://www.wikiart.org/en/joshua-reynolds,david-garrick-between-tragedy-and-comedy-1761(1).jpg,joshua-reynolds,joshua-reynolds,joshua-reynolds,joshua-reynolds,266650
1167,577286a1edc2cb388004d71d,Sheila Hicks,Grand Prayer Rug,https://uploads4.wikiart.org/images/sheila-hicks/grand-prayer-rug-1966.jpg,https://www.wikiart.org/en/sheila-hicks/grand-prayer-rug-1966,https://www.wikiart.org/en/sheila-hicks,grand-prayer-rug-1966.jpg,sheila-hicks,sheila-hicks,sheila-hicks,sheila-hicks,326360
1168,5772869dedc2cb388004d026,Alexandre Jacovleff,"The Kuli-Kuta Dance, Niamey",https://uploads7.wikiart.org/images/alexandre-yevgenievich-jacovleff/the-kuli-kuta-dance-niamey-1926.jpg,https://www.wikiart.org/en/alexandre-jacovleff/the-kuli-kuta-dance-niamey-1926,https://www.wikiart.org/en/alexandre-jacovleff,the-kuli-kuta-dance-niamey-1926.jpg,alexandre-yevgenievich-jacovleff,alexandre-jacovleff,alexandre-yevgenievich-jacovleff,alexandre-jacovleff,326215
1169,58d021c4edc2c99318e4f52c,Claude-Joseph Vernet,La nuit,https://uploads3.wikiart.org/00124/images/joseph-vernet/vernet-claude-joseph-the-night-18th-c-1.JPG,https://www.wikiart.org/en/claude-joseph-vernet/la-nuit,https://www.wikiart.org/en/claude-joseph-vernet,vernet-claude-joseph-the-night-18th-c-1.JPG,joseph-vernet,claude-joseph-vernet,joseph-vernet,claude-joseph-vernet,9223372032559813227
1176,57726e39edc2cb3880b62ba7,Caravaggio,The Lute Player,https://uploads1.wikiart.org/images/caravaggio/the-lute-player-1(1).jpg,https://www.wikiart.org/en/caravaggio/the-lute-player-1,https://www.wikiart.org/en/caravaggio,the-lute-player-1(1).jpg,caravaggio,caravaggio,caravaggio,caravaggio,186706
1177,57728268edc2cb3880f77f7d,Leon Spilliaert,Young Man with Red Scarf,https://uploads6.wikiart.org/images/leon-spilliaert/young-man-with-red-scarf-1908.jpg,https://www.wikiart.org/en/leon-spilliaert/young-man-with-red-scarf-1908,https://www.wikiart.org/en/leon-spilliaert,young-man-with-red-scarf-1908.jpg,leon-spilliaert,leon-spilliaert,leon-spilliaert,leon-spilliaert,302797
1183,5772883dedc2cb388009e2fd,Dora Maar,Double Portrait,https://uploads0.wikiart.org/images/dora-maar/double-portrait-1930.jpg,https://www.wikiart.org/en/dora-maar/double-portrait-1930,https://www.wikiart.org/en/dora-maar,double-portrait-1930.jpg,dora-maar,dora-maar,dora-maar,dora-maar,337392
1189,57727218edc2cb3880c40aa9,Rene Magritte,The human condition,https://uploads2.wikiart.org/images/rene-magritte/the-human-condition-1935(1).jpg,https://www.wikiart.org/en/rene-magritte/the-human-condition-1935,https://www.wikiart.org/en/rene-magritte,the-human-condition-1935(1).jpg,rene-magritte,rene-magritte,rene-magritte,rene-magritte,211544
1194,57728661edc2cb3880042081,Charlotte Posenenske,Sprayed Picture,https://uploads7.wikiart.org/images/charlotte-posenenske/sprayed-picture-1965-1(1).jpg,https://www.wikiart.org/en/charlotte-posenenske/sprayed-picture-1965-1,https://www.wikiart.org/en/charlotte-posenenske,sprayed-picture-1965-1(1).jpg,charlotte-posenenske,charlotte-posenenske,charlotte-posenenske,charlotte-posenenske,324795
1198,57727b78edc2cb3880e18f04,George Stubbs,Horse Attacked by a Lion,https://uploads8.wikiart.org/images/george-stubbs/horse-attacked-by-a-lion.jpg,https://www.wikiart.org/en/george-stubbs/horse-attacked-by-a-lion,https://www.wikiart.org/en/george-stubbs,horse-attacked-by-a-lion.jpg,george-stubbs,george-stubbs,george-stubbs,george-stubbs,263332
1200,57727e83edc2cb3880eb0ddb,Andrea Mantegna,Musicians and teaches Carriers,https://uploads3.wikiart.org/images/andrea-mantegna/musicians-and-teaches-carriers-1506.jpg,https://www.wikiart.org/en/andrea-mantegna/musicians-and-teaches-carriers-1506,https://www.wikiart.org/en/andrea-mantegna,musicians-and-teaches-carriers-1506.jpg,andrea-mantegna,andrea-mantegna,andrea-mantegna,andrea-mantegna,280572
1202,57726e7aedc2cb3880b7448a,Sandro Botticelli,Portrait of Dante,https://uploads8.wikiart.org/images/sandro-botticelli/portrait-of-dante(1).jpg,https://www.wikiart.org/en/sandro-botticelli/portrait-of-dante,https://www.wikiart.org/en/sandro-botticelli,portrait-of-dante(1).jpg,sandro-botticelli,sandro-botticelli,sandro-botticelli,sandro-botticelli,189084
1204,57727f3eedc2cb3880ed755b,Sam Francis,Untitled (Yellow),https://uploads2.wikiart.org/images/sam-francis/untitled-yellow-1961.jpg,https://www.wikiart.org/en/sam-francis/untitled-yellow-1961,https://www.wikiart.org/en/sam-francis,untitled-yellow-1961.jpg,sam-francis,sam-francis,sam-francis,sam-francis,284473
1207,57727c4bedc2cb3880e41335,Constantin Brancusi,The Kiss,https://uploads3.wikiart.org/images/constantin-brancusi/the-kiss-1912.jpg,https://www.wikiart.org/en/constantin-brancusi/the-kiss-1912,https://www.wikiart.org/en/constantin-brancusi,the-kiss-1912.jpg,constantin-brancusi,constantin-brancusi,constantin-brancusi,constantin-brancusi,267684
1210,5772800fedc2cb3880eff649,Brice Marden,The Dylan Painting,https://uploads0.wikiart.org/images/brice-marden/the-dylan-painting-1966(1).jpg,https://www.wikiart.org/en/brice-marden/the-dylan-painting-1966,https://www.wikiart.org/en/brice-marden,the-dylan-painting-1966(1).jpg,brice-marden,brice-marden,brice-marden,brice-marden,288987
1211,57728904edc2cb38800c71a4,Edward Krasinski,Untitled,https://uploads0.wikiart.org/images/edward-krasinski/untitled-1965.jpg,https://www.wikiart.org/en/edward-krasinski/untitled-1965,https://www.wikiart.org/en/edward-krasinski,untitled-1965.jpg,edward-krasinski,edward-krasinski,edward-krasinski,edward-krasinski,342984
1216,5772847bedc2cb3880fdedd7,Hendrick Cornelisz Vroom,"Attack on Spanish Treasure Galleys, Portugal",https://uploads7.wikiart.org/images/hendrick-cornelisz-vroom/attack-on-spanish-treasure-galleys-portugal-1602.jpg,https://www.wikiart.org/en/hendrick-cornelisz-vroom/attack-on-spanish-treasure-galleys-portugal-1602,https://www.wikiart.org/en/hendrick-cornelisz-vroom,attack-on-spanish-treasure-galleys-portugal-1602.jpg,hendrick-cornelisz-vroom,hendrick-cornelisz-vroom,hendrick-cornelisz-vroom,hendrick-cornelisz-vroom,314381
1223,57727ee7edc2cb3880ec4fd6,Giacomo Quarenghi,Terem Palace,https://uploads0.wikiart.org/images/giacomo-quarenghi/terem-palace.jpg,https://www.wikiart.org/en/giacomo-quarenghi/terem-palace,https://www.wikiart.org/en/giacomo-quarenghi,terem-palace.jpg,giacomo-quarenghi,giacomo-quarenghi,giacomo-quarenghi,giacomo-quarenghi,282783
1227,57727685edc2cb3880d1d8e6,Oskar Kokoschka,Knight Errant (Self-Portrait),https://uploads5.wikiart.org/images/oskar-kokoschka/not_detected_235870.jpg,https://www.wikiart.org/en/oskar-kokoschka/not_detected_235870,https://www.wikiart.org/en/oskar-kokoschka,not,oskar-kokoschka,oskar-kokoschka,oskar-kokoschka,oskar-kokoschka,235870
1228,57728789edc2cb3880076c1f,Giuseppe Pinot-Gallizio,Industrial Painting,https://uploads2.wikiart.org/images/giuseppe-pinot-gallizio/industrial-painting-1958-2.jpg,https://www.wikiart.org/en/giuseppe-pinot-gallizio/industrial-painting-1958-2,https://www.wikiart.org/en/giuseppe-pinot-gallizio,industrial-painting-1958-2.jpg,giuseppe-pinot-gallizio,giuseppe-pinot-gallizio,giuseppe-pinot-gallizio,giuseppe-pinot-gallizio,332710
1229,5772869fedc2cb388004d3b7,Sandor Bortnyik,The New Eve,https://uploads2.wikiart.org/images/sandor-bortnyik/the-new-eve-1924.jpg,https://www.wikiart.org/en/sandor-bortnyik/the-new-eve-1924,https://www.wikiart.org/en/sandor-bortnyik,the-new-eve-1924.jpg,sandor-bortnyik,sandor-bortnyik,sandor-bortnyik,sandor-bortnyik,326306
1230,57727cd5edc2cb3880e5e21b,Louise Elisabeth Vigee Le Brun,Lady Hamilton,https://uploads5.wikiart.org/images/louise-elisabeth-vigee-le-brun/lady-hamilton.jpg,https://www.wikiart.org/en/louise-elisabeth-vigee-le-brun/lady-hamilton,https://www.wikiart.org/en/louise-elisabeth-vigee-le-brun,lady-hamilton.jpg,louise-elisabeth-vigee-le-brun,louise-elisabeth-vigee-le-brun,louise-elisabeth-vigee-le-brun,louise-elisabeth-vigee-le-brun,270968
1231,57728947edc2cb38800d345a,Alexej von Jawlensky,Head of a Woman,https://uploads2.wikiart.org/images/alexej-von-jawlensky/head-of-a-woman-1911.jpg,https://www.wikiart.org/en/alexej-von-jawlensky/head-of-a-woman-1911,https://www.wikiart.org/en/alexej-von-jawlensky,head-of-a-woman-1911.jpg,alexej-von-jawlensky,alexej-von-jawlensky,alexej-von-jawlensky,alexej-von-jawlensky,345902
1233,57727f1cedc2cb3880ecefd3,Jacques H&#233;rold,Composition,https://uploads1.wikiart.org/images/jacques-h-rold/composition-1977.jpg,https://www.wikiart.org/en/jacques-h-rold/composition-1977,https://www.wikiart.org/en/jacques-h-rold,composition-1977.jpg,jacques-h-rold,jacques-h&#233;rold,jacques-h-rold,jacques-h&#233;rold,283847
1238,577282f4edc2cb3880f958ac,Rene Bertholo,Deux Nuages,https://uploads0.wikiart.org/images/rene-bertholo/deux-nuages-1967.jpg,https://www.wikiart.org/en/rene-bertholo/deux-nuages-1967,https://www.wikiart.org/en/rene-bertholo,deux-nuages-1967.jpg,rene-bertholo,rene-bertholo,rene-bertholo,rene-bertholo,305875
1242,57728a67edc2cb388010f875,Francisco Pacheco,San Joaqu&#237;n y Santa Ana,https://uploads7.wikiart.org/images/francisco-pacheco/san-joaqu-n-y-santa-ana-1600.jpg,https://www.wikiart.org/en/francisco-pacheco/san-joaqu-n-y-santa-ana-1600,https://www.wikiart.org/en/francisco-pacheco,san-joaqu-n-y-santa-ana-1600.jpg,francisco-pacheco,francisco-pacheco,francisco-pacheco,francisco-pacheco,364158
1244,577271d8edc2cb3880c2edf6,Jean Fouquet,Battle of Fontenoy-en-Puisaye in 841,https://uploads1.wikiart.org/images/jean-fouquet/battle-of-fontenoy-en-puisaye-in-841.jpg,https://www.wikiart.org/en/jean-fouquet/battle-of-fontenoy-en-puisaye-in-841,https://www.wikiart.org/en/jean-fouquet,battle-of-fontenoy-en-puisaye-in-841.jpg,jean-fouquet,jean-fouquet,jean-fouquet,jean-fouquet,209917
1245,57727fa5edc2cb3880eeae48,Sam Gilliam,Light Depth,https://uploads7.wikiart.org/images/sam-gilliam/light-depth-1969.jpg,https://www.wikiart.org/en/sam-gilliam/light-depth-1969,https://www.wikiart.org/en/sam-gilliam,light-depth-1969.jpg,sam-gilliam,sam-gilliam,sam-gilliam,sam-gilliam,286464
1247,57727fa2edc2cb3880eea904,Jimmy Ernst,Aeroflower,https://uploads6.wikiart.org/images/jimmy-ernst/aeroflower-1942.jpg,https://www.wikiart.org/en/jimmy-ernst/aeroflower-1942,https://www.wikiart.org/en/jimmy-ernst,aeroflower-1942.jpg,jimmy-ernst,jimmy-ernst,jimmy-ernst,jimmy-ernst,286373
1249,577280c2edc2cb3880f261a5,Janos Mattis-Teutsch,Composition,https://uploads3.wikiart.org/images/janos-mattis-teutsch/composition-1923-1(8).jpg,https://www.wikiart.org/en/janos-mattis-teutsch/composition-1923-1,https://www.wikiart.org/en/janos-mattis-teutsch,composition-1923-1(8).jpg,janos-mattis-teutsch,janos-mattis-teutsch,janos-mattis-teutsch,janos-mattis-teutsch,292950
1254,596f9062edc2c953f4a9cdf5,Louise Abb&#233;ma,Portrait de Sarah Bernhardt,https://uploads1.wikiart.org/00141/images/louise-abbema/cae-19-abbema118i.jpg,https://www.wikiart.org/en/louise-abbema/portrait-de-sarah-bernhardt-1879,https://www.wikiart.org/en/louise-abbema,cae-19-abbema118i.jpg,louise-abbema,louise-abb&#233;ma,louise-abbema,louise-abb&#233;ma,9223372032559822441
